name,type,str_addr,addr_loc,addr_reg,post_code,phone_num
Prosoils,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Hwy 35 S</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Rose Valley</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0E 1M0</span>",
Nutrien Ag Solutions,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">410 Hwy 38 N</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Kelvington</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 1W0</span>",
Crop Production Services (Canada) Inc,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">301 Railway Ave N</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Pelly</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 2Z0</span>",
Crop Production Services (Canada) Inc,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">132 Assiniboine Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Sturgis</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 4A0</span>",
UFA Farm & Ranch Supply Store,Farms & Ranches,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">3938 50 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">St Paul</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0A 3A0</span>",
Peavey Mart,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1-4210 50 Ave SS 2</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">St Paul</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0A 3A2</span>",
UFA Farm & Ranch Supply Store,Farms & Ranches,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">3922 53 St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Athabasca</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T9S 1B3</span>",
Schenn's Farm Supply,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">521 9th St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Humboldt</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0K 2A0</span>",
Peavey Mart,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">10225 8th Avenue</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Humboldt</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0K 2A0</span>",
Lake Lenore Co-operative Association,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">300 Lake Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Humboldt</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0K 2A0</span>",
