name,type,str_addr,addr_loc,addr_reg,post_code,phone_num
Dash Event Designs And Rentals Ltd,Acoustic Consultants,,,,,
Raytheon Canada Limited,Acoustic Consultants,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Pond Inlet</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0S0</span>",
Raytheon Canada Limited,Acoustic Materials,,,,,
Flowers by Rebecca,Background Music,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Baker Lake</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0C 0A0</span>",
Pippin Technical Service Ltd,Background Music,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Gjoa Haven</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0B 1J0</span>",
BAP Acoustics Ltd,Background Music,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Chesterfield Inlet</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0C 0B0</span>",
Can-Cell Industries,Dj Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Whale Cove</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0C 0J0</span>",
Backstage Music,Car Electrical Services,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Arviat</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0C 0E0</span>",
Staging Canadell Ltd,Dj Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Gjoa Haven</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0B 1J0</span>",
Great Northern Music Festival,Dj Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Pelly Bay</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Kugaaruk</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>",,
Danceaway Music Services,Bars,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Kugaaruk</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0B 1K0</span>",
EDG Mobile DJ Service,Music Lessons & Schools,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Taloyoak</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0B 1B0</span>",
Danceaway Music Services,Music Lessons & Schools,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Taloyoak</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0B 1B0</span>",
Arctic Woolyboo DJ Services,Music Lessons & Schools,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Coral Harbour</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0C 0C0</span>",
Ice Breaker Lounge,Music Lessons & Schools,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Igloolik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0L0</span>",
Skills Canada Nwt,Music Lessons & Schools,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4 Lessard Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2G5</span>",
Ardith Dean Music Studio,Musical Instrument Stores,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">5016 48 St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1N3</span>",
Ardith Dean,Musical Instrument Stores,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">5016 48 St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1N3</span>",
Fiddles & Stix Music Centre Ltd,Musical Instrument Stores,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4901 49 Street</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2G5</span>",
Ardith Dean Piano Studio,Musical Instrument Manufacturers & Wholesalers,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2L8</span>",
Fiddles & Stix Music Centre Ltd,Musical Instrument Stores,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">PO Box 218 Stn Main</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2N2</span>",
Ardith Dean,Musical Instrument Stores,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Cape Dorset</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0C0</span>",
Fiddles & Stix Music Centre Ltd,Musical Instrument Stores,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Kugluktuk</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0B 0E0</span>",
Fury Guitar Manufacturing Ltd,Orchestras & Bands,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Kugluktuk</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0B 0E0</span>",
Fiddles & Stix Music Centre Ltd,Orchestras & Bands,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">17-3 Capital Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Hay River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 1G2</span>",
Ardith Dean,Piano Lessons & Stores,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Gd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Fort Providence</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0L0</span>",
Fiddles & Stix Music Centre Ltd,Piano Lessons & Stores,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Resolute</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0V0</span>",
Hauntedholy,Recording Studios,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Kimmirut</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>",,
Sturgeon Lake Band Urban Office,Sound Systems & Equipment,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Iqaluit</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0H0</span>",
Wainwright Brian,Sound Systems & Equipment,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Iqaluit</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0H0</span>",
Ardith Dean,Sound Systems & Equipment,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Iqaluit</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0H0</span>",
Weather Information Public Weather Recording,Sound Systems & Equipment,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Wrigley</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 1E0</span>",
First North Productions,Stereo Equipment Sales & Services,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Pangnirtung</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0R0</span>",
Pelagic Word & Sound Services,Stereo Equipment Sales & Services,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Pangnirtung</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0R0</span>",
Danceaway Music Services,Stereo Equipment Sales & Services,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Fort Liard</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0G 0A0</span>",
Fiddles & Stix Music Centre Ltd,Stereo Equipment Sales & Services,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Qikiqtarjuaq</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0B0</span>",
A & R Sales & Service Ltd,Stereo Equipment Sales & Services,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">155 MacKenzie Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Inuvik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0T0</span>",
The Source,Stereo Equipment Sales & Services,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">155 MacKenzie Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Inuvik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0T0</span>",
Source by Circuit City (The),News Services,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Hay River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>",,
Roy's Audio Video Unlimited,News Services,,,,,
Roy's Audio Video Unlimited,News Services,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>",,
Fiddles & Stix Music Centre Ltd,News Services,,,,,
News/North,News Services,,,,,
Swan River Valley Biz,News Services,,,,,
LaCreteOnline,Industrial & Commercial Photographers,,,,,
Sask Valley News,News Services,,,,,
Wadena News,Newspaper Distributors,,,,,
Culcher Magazine for Women,Newspapers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">25 Kapihilik Cres</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Cambridge Bay</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0B 0C0</span>",
Northern News Service,Newspapers,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>",,
Kivalliq News,Newspapers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">5309 54th St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1X1</span>",
Tribal Chief Child & Services West Society,Newspapers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">5001 Forrest Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2A7</span>",
Hub Publications Ltd,Newspapers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">5001 Forrest Drive</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2A7</span>",
Nunatsiaq News,Newspapers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">416 Byrne Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3G3</span>",
Inuvialuit Communications Society,Newspapers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4 Courtoreille St SS 98</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Hay River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 1G2</span>",
Tusaayaksat Newspaper,Newspapers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Corner of 50th Street &amp; 51st Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>",,
Northern Journal,Weather Forecast Service,,,,,
Nunatsiaq News,Weather Forecast Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Wekweti</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 1W0</span>",
L'Aquilon,Weather Forecast Service,,,,,
Inuvialuit Communications Society,Weather Forecast Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Trout Lake</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 1Z0</span>",
Weather Information,Weather Forecast Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Holman</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0S0</span>",
Weatherford,Weather Forecast Service,,,,,
Weatherford,Weather Forecast Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Tulita</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0K0</span>",
Weatherford,Weather Forecast Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Montgrand St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">La Loche</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0M 1G0</span>",
Weather Station,Weather Forecast Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">9713 Hardin St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Fort McMurray</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T9H 1L2</span>",
Weatherford,Weather Forecast Service,,,,,
Weatherford,Weather Forecast Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">100-5201 50 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3S9</span>",
Weatherford,Weather Forecast Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">2 Trails End Cres</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1A4</span>",
Weatherford,Weather Forecast Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">5120 49th Street</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1P8</span>",
Weatherford,Weather Forecast Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Iqaluit</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0H0</span>",
Weatherford,Weather Forecast Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Inuvik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0T0</span>",
Weatherford,Weather Forecast Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">74 Firth St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Inuvik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0T0</span>",
Weatherford,Weather Forecast Service,,,,,
Weatherford,Weather Forecast Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2L8</span>",
Weatherford Canada Ltd,Weather Forecast Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>",,
Weatherford,Weather Forecast Service,,,,,
Weatherford,Weather Forecast Service,,,,,
Weatherford,Weather Forecast Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">12A 2nd Ave NE</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Dauphin</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R7N 0Z4</span>",
Weatherford,Weather Forecast Service,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Fort Smith</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0P0</span>",
Weatherford,Weather Forecast Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">23 Melville Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 0G2</span>",
Weatherford Canada Partnership,Weather Forecast Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4802 50 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1C4</span>",
Weather Information Environment Canada,Weather Forecast Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">10-4802 50th Avenue</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3S5</span>",
Weatherford Canada Partnership,Pubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">711 Bigelow Cres</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2Z1</span>",
Weather Information Environment Canada,Pubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">207 McDougal Rd, Box 990</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Fort Smith</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0P0</span>",
Weather Information,Licensed Lounges,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">6-66 Woodland Dr</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Hay River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 1G1</span>",
Arctic Weather Centre,Pubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">192 Queen Elizabeth</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Iqaluit</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0H0</span>",
Sam's Monkey Tree Pub,Pubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">74 Firth St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Inuvik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 0T0</span>",
The Raven's Pub,Pubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Centre Square Mall Yellowknife</span>",,"<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>",,
TrapLine Lounge,Bars,,,,,
Gold Range Hotel,Pubs,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>",,
Harley's Hard Rock Saloon,Pubs,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Iqaluit</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0H0</span>",
Back Eddy Cocktail Lounge & Restaurant,Pubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Hwy 26</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Turtleford</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0M 2Y0</span>",
Ice Breaker Lounge,Pubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">216 Main St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Maidstone</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0M 1M0</span>",
Hot Shots Pub & Grub,Pubs,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">North Battleford</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>",,
Sam's Monkey Tree Pub,Pubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1112 Avenue D N</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7L 1N8</span>",
The Raven's Pub,Brewers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Lot 25</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Igloolik</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0L0</span>",
Gold Range Hotel,Pubs,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Iqaluit</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NU</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0A 0H0</span>",
Harley's Hard Rock Saloon,Clubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4802 50 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1C4</span>",
Back Eddy Cocktail Lounge & Restaurant,Public Golf Courses,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">10-4802 50th Avenue</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3S5</span>",
Nunavut Brewing Ltd,Fitness Gyms,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">3-4 Courtoreille St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Hay River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X0E 1G2</span>",
Hot Shots Pub & Grub,Gymnastics Lessons & Clubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">4802 50 Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 1C4</span>",
Elk's Club,Bistros,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">10-4802 50th Avenue</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 3S5</span>",
Yellowknife Golf Club,Clubs,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">711 Bigelow Cres</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Yellowknife</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">NT</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">X1A 2Z1</span>",
